#key,title,length                                                                                                                                                                                                                                                                                                     
conf/mompes/2006,"Proceedings of the Joint Meeting of The Fourth Workshop on Model-Based Development of Computrer-Based Systems and The Third International Workshop on Model-based Methodologies for Pervasive and Embedded Software, MBD/MOMPES 2006, Potsdam, Germany, March 30, 2006, Proceedings",275            
conf/healthcom/2015,"17th International Conference on E-health Networking, Application & Services, HealthCom 2015, Boston, MA, USA, October 14-17, 2015",130                                                                                                                                                          
conf/conielecomp/2007,"17th International Conference on Electronics, Communications and Computers, CONIELECOMP 2007, Cholula, Puebla, Mexico, February 26-28, 2007",139                                                                                                                                               
conf/ccs/2013trusted,"TrustED'13, Proceedings of the 2013 ACM Workshop on Trustworthy Embedded Devices, Co-located with CCS 2013, November 4, 2013, Berlin, Germany",141                                                                                                                                              
conf/acml/2017,"Proceedings of The 9th Asian Conference on Machine Learning, ACML 2017, Seoul, Korea, November 15-17, 2017.",107                                                                                                                                                                                      
conf/accv/2014-w1,"Computer Vision - ACCV 2014 Workshops - Singapore, Singapore, November 1-2, 2014, Revised Selected Papers, Part I",113                                                                                                                                                                             
conf/erpf/2013,"Novel Methods and Technologies for Enterprise Information Systems, ERP Future 2013 Conference, Vienna, Austria, November 2013, Revised Papers",141                                                                                                                                                    
conf/forte/1993,"Formal Description Techniques, VI, Proceedings of the IFIP TC6/WG6.1 Sixth International Conference on Formal Description Techniques - FORTE '93, Boston, MA, USA, 26-29 October 1993",181                                                                                                           
conf/lcn/1993,"18th Conference on Local Computer Networks, September 19-22, 1993, Minneapolis, Minnesota, USA, Proceedings",107                                                                                                                                                                                       
conf/hci/2009-6,"Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments, 5th International Conference, UAHCI 2009, 8Held as Part of HCI International 2009, San Diego, CA, USA, July 19-24, 2009. Proceedings, Part II",241                                                    
conf/isaac/2006,"Algorithms and Computation, 17th International Symposium, ISAAC 2006, Kolkata, India, December 18-20, 2006, Proceedings",119                                                                                                                                                                         
conf/cason/2009,"International Conference on Computational Aspects of Social Networks, CASoN 2009, Fontainebleau, France, 24-27 June 2009",120                                                                                                                                                                        
conf/icai/1999-2,"Proceedings of the International Conference on Artificial Intelligence, IC-AI '99, June 28 - July 1, 1999, Las Vegas, Nevada, USA, Volume 2",139                                                                                                                                                    
conf/parelec/2000,"2000 International Conference on Parallel Computing in Electrical Engineering (PARELEC 2000), 27-30 August 2000, Quebec, Canada",127                                                                                                                                                               
conf/mochart/2010,"Model Checking and Artificial Intelligence - 6th International Workshop, MoChArt 2010, Atlanta, GA, USA, July 11, 2010, Revised Selected and Invited Papers",155                                                                                                                                   
conf/srds/2015w,"34th IEEE Symposium on Reliable Distributed Systems Workshop, SRDS 2015 Workshop, Montreal, QC, Canada, September 28 - October 1, 2015",134                                                                                                                                                          
conf/sblp/2015,"Programming Languages - 19th Brazilian Symposium SBLP 2015, Belo Horizonte, Brazil, September 24-25, 2015, Proceedings",118                                                                                                                                                                           
conf/arith/2010,"20th IEEE Symposium on Computer Arithmetic, ARITH 2011, Tübingen, Germany, 25-27 July 2011",90                                                                                                                                                                                                       
conf/haskell/2006,"Proceedings of the ACM SIGPLAN Workshop on Haskell, Haskell 2006, Portland, Oregon, USA, September 17, 2006",107                                                                                                                                                                                   
conf/bmvc/1987,"Proceedings of the Alvey Vision Conference, AVC 1987, Cambridge, UK, September, 1987",84                                                                                                                                                                                                              
conf/dagstuhl/2004P4041,"Component-Base Modeling and Simulation, 18.-23. January 2004",60                                                                                                                                                                                                                             
conf/models/2012ocl,"Proceedings of the 12th Workshop on OCL and Textual Modelling, Innsbruck, Austria, September 30, 2012",101                                                                                                                                                                                       
conf/textgraphs/2009,"Proceedings of the 2009 Workshop on Graph-based Methods for Natural Language Processing, August 7, 2009, Singapore",114                                                                                                                                                                         
conf/iscis/2005,"Computer and Information Sciences - ISCIS 2005, 20th International Symposium, Istanbul, Turkey, October 26-28, 2005, Proceedings",128                                                                                                                                                                
conf/pads/2014,"SIGSIM Principles of Advanced Discrete Simulation, SIGSIM-PADS '14, Denver, CO, USA, May 18-21, 2014",100                                                                                                                                                                                             
conf/systor/2016,"Proceedings of the 9th ACM International on Systems and Storage Conference, SYSTOR 2016, Haifa, Israel, June 6-8, 2016",118                                                                                                                                                                         
conf/sagt/2009,"Algorithmic Game Theory, Second International Symposium, SAGT 2009, Paphos, Cyprus, October 18-20, 2009. Proceedings",116                                                                                                                                                                             
conf/mmmacns/2010,"Computer Network Security, 5th International Conference on Mathematical Methods, Models and Architectures for Computer Network Security, MMM-ACNS 2010, St. Petersburg, Russia, September 8-10, 2010. Proceedings",209                                                                             
conf/mc/2013,"Mensch & Computer 2013: Interaktive Vielfalt, Interdisziplinäre Fachtagung, 8.-11. September 2013, Bremen, Germany",114                                                                                                                                                                                 
conf/fgit/2012,"Future Generation Information Technology - 4th International Conference, FGIT 2012, Gangneug, Korea, December 16-19, 2012. Proceedings",134                                                                                                                                                           
conf/adl/2000,"Proceedings of IEEE Advances in Digital Libraries 2000 (ADL 2000), Washington, DC, USA, May 22-24, 2000",103                                                                                                                                                                                           
conf/lion/2007,"Learning and Intelligent Optimization, Second International Conference, LION 2007, Trento, Italy, December 8-12, 2007. Selected Papers",134                                                                                                                                                           
conf/mm/2013sam,"Proceedings of the 2nd international workshop on Socially-aware multimedia, SAM@ACM Multimedia 2013, Barcelona, Spain, October 21, 2013",135                                                                                                                                                         
conf/vast/2012,"VAST12: The 13th International Symposium on Virtual Reality, Archaeology and Intelligent Cultural Heritage, Brighton, UK, 2012. Proceedings",139                                                                                                                                                      
conf/dagstuhl/2008P8332,"Distributed Verification and Grid Computing, 10.08. - 14.08.2008",64                                                                                                                                                                                                                         
conf/ic/2009,"Proceedings of the 2009 International Conference on Internet Computing, ICOMP 2009, July 13-16, 2009, Las Vegas Nevada, USA",123                                                                                                                                                                        
conf/asst/1990,"ASST '90, 7. Aachener Symposium für Signaltheorie: Modellgestützte Signalverarbeitung, Aachen, 12.-14. September 1990, Proceedings",130                                                                                                                                                               
conf/websci/2013,"Web Science 2013 (co-located with ECRC), WebSci '13, Paris, France, May 2-4, 2013",81                                                                                                                                                                                                               
conf/esorics/2009-5599,"Privacy in Location-Based Applications, Research Issues and Emerging Trends [This book was partially born out of the First International Workshop on Privacy in Location-Based Applications (PiLBA 2008) held in Malaga, Spain, in October 2008, in conjunction with the 13th European Symposium on Research in Computer Security].",323                                                    
conf/cmg/2004,"30th International Computer Measurement Group Conference, December 5-10, 2004, Las Vegas, Nevada, USA, Proceedings",114                                                                                                                                                                                
conf/miccai/2017cni,"Connectomics in NeuroImaging - First International Workshop, CNI 2017, Held in Conjunction with MICCAI 2017, Quebec City, QC, Canada, September 14, 2017, Proceedings",165                                                                                                                       
conf/gw/1996,"Progress in Gestural Interaction, Proceedings of Gesture Workshop '96, March 19th 1996, University of York, UK",110                                                                                                                                                                                     
conf/oopsla/1991,"Conference on Object-Oriented Programming Systems, Languages, and Applications (OOPSLA'91), Sixth Annual Conference, Phoenix, Arizona, USA, October 6-11, 1991, Proceedings.",172                                                                                                                   
conf/icadl/2006,"Digital Libraries: Achievements, Challenges and Opportunities, 9th International Conference on Asian Digital Libraries, ICADL 2006, Kyoto, Japan, November 27-30, 2006, Proceedings",179                                                                                                             
conf/sp/2015w,"2015 IEEE Symposium on Security and Privacy Workshops, SPW 2015, San Jose, CA, USA, May 21-22, 2015",99                                                                                                                                                                                                
conf/dagm/1999,"Mustererkennung 1999, 21. DAGM-Symposium, Bonn, 15.-17. September 1999, Proceedings",83                                                                                                                                                                                                               
conf/cade/2016smt,"Proceedings of the 14th International Workshop on Satisfiability Modulo Theories affiliated with the International Joint Conference on Automated Reasoning, SMT@IJCAR 2016, Coimbra, Portugal, July 1-2, 2016.",206                                                                                
conf/prima/2017caremas,"Proceedings of the First Workshop on Computational Accountability and Responsibility in Multiagent Systems co-located with 20th International Conference on Principles and Practice of Multi-Agent Systems, CARe-MAS@PRIMA 2017, Nice, France, October 31st, 2017.",258                                                    
conf/emnlp/1999,"Joint SIGDAT Conference on Empirical Methods in Natural Language Processing and Very Large Corpora, EMNLP 1999, College Park, MD, USA, June 21-22, 1999",151                                                                                                                                         
conf/ccs/2017mtd,"Proceedings of the 2017 Workshop on Moving Target Defense, MTD@CCS 2017, Dallas, TX, USA, October 30, 2017",106                                                                                                                                                                                     
conf/bmei/2012,"5th International Conference on BioMedical Engineering and Informatics, BMEI 2012, Chongqing, China, October 16-18, 2012",120                                                                                                                                                                         
conf/icws/2011,"IEEE International Conference on Web Services, ICWS 2011, Washington, DC, USA, July 4-9, 2011",93                                                                                                                                                                                                     
conf/scube/2014,"Sensor Systems and Software - 5th International Conference, S-CUBE 2014, Coventry, UK, October 6-7, 2014, Revised Selected Papers",129                                                                                                                                                               
conf/intenv/2013w,"Workshop Proceedings of the 9th International Conference on Intelligent Environments, Athens, Greece, July 16-17, 2013",118                                                                                                                                                                        
conf/bdcloud/2016,"2016 IEEE International Conferences on Big Data and Cloud Computing (BDCloud), Social Computing and Networking (SocialCom), Sustainable Computing and Communications (SustainCom), BDCloud-SocialCom-SustainCom 2016, Atlanta, GA, USA, October 8-10, 2016",250                                                    
conf/sensys/2017buildsys,"Proceedings of the 4th ACM International Conference on Systems for Energy-Efficient Built Environments, BuildSys 2017, Delft, The Netherlands, November 08-09, 2017",163                                                                                                                    
conf/iwoca/2009,"Combinatorial Algorithms, 20th International Workshop, IWOCA 2009, Hradec nad Moravicí, Czech Republic, June 28-July 2, 2009, Revised Selected Papers",149                                                                                                                                           
conf/valuetools/2013,"7th International Conference on Performance Evaluation Methodologies and Tools, ValueTools '13, Torino, Italy, December 10-12, 2013",131                                                                                                                                                        
conf/dimacs/dimacs42,"Advances in Switching Networks, Proceedings of a DIMACS Workshop,Princeton, New Jersey, USA, July 7-9, 1997",107                                                                                                                                                                                
conf/ccs/1993,"CCS '93, Proceedings of the 1st ACM Conference on Computer and Communications Security, Fairfax, Virginia, USA, November 3-5, 1993.",131                                                                                                                                                               
conf/iccsa/2006-3,"Computational Science and Its Applications - ICCSA 2006, International Conference, Glasgow, UK, May 8-11, 2006, Proceedings, Part III",133                                                                                                                                                         
conf/softeks/1993,"Incompleteness and Uncertainty in Information Systems, Proceedings of the SOFTEKS Workshop on Incompleteness and Uncertainty in Information Systems, Concordia University, Montreal, Canada, 8-9 October 1993",205                                                                                 
conf/patat/1997,"Practice and Theory of Automated Timetabling II, Second International Conference, PATAT'97, Toronto, Canada, August 20-22, 1997, Selected Papers",144                                                                                                                                                
conf/incos/2013,"2013 5th International Conference on Intelligent Networking and Collaborative Systems, Xi'an city, Shaanxi province, China, September 9-11, 2013",144                                                                                                                                                
conf/icuimc/2011,"Proceedings of the 5th International Conference on Ubiquitous Information Management and Communication, ICUIMC 2011, Seoul, Republic of Korea, February 21 - 23, 2011",165                                                                                                                          
conf/crypto/2011,"Advances in Cryptology - CRYPTO 2011 - 31st Annual Cryptology Conference, Santa Barbara, CA, USA, August 14-18, 2011. Proceedings",129                                                                                                                                                              
conf/dagstuhl/2005P5221,"Geometric Modeling, 29.05. - 03.06.2005",39                                                                                                                                                                                                                                                  
conf/istar/2015,"Proceedings of the Eighth International i*Workshop, iStar 2015, in conjunction with the 23rd International Requirements Engineering Conference (RE 2015), Ottawa, Canada, August 24-25, 2015.",189                                                                                                   
conf/icarcv/2016,"14th International Conference on Control, Automation, Robotics and Vision, ICARCV 2016, Phuket, Thailand, November 13-15, 2016",126                                                                                                                                                                 
conf/charme/1997,"Advances in Hardware Design and Verification, IFIP WG 10.5 International Conference on Correct Hardware Design and Verification Methods, 16-18 October 1997, Montreal, Quebec, Canada",181                                                                                                          
conf/ecml/2004,"Machine Learning: ECML 2004, 15th European Conference on Machine Learning, Pisa, Italy, September 20-24, 2004, Proceedings",122                                                                                                                                                                       
conf/cardis/2002,"Proceedings of the Fifth Smart Card Research and Advanced Application Conference, CARDIS '02, November 21-22, 2002, San Jose, CA, USA",133                                                                                                                                                          
conf/sccc/1999,"19th International Conference of the Chilean Computer Science Society (SCCC '99), 11-13 November 1999, Talca, Chile",115                                                                                                                                                                              
conf/icse/2006wosq,"Proceedings of the 2006 international workshop on Software quality, WoSQ@ICSE 2006, Shanghai, China, May 21, 2006",113                                                                                                                                                                            
conf/cases/2014,"2014 International Conference on Compilers, Architecture and Synthesis for Embedded Systems, CASES 2014, Uttar Pradesh, India, October 12-17, 2014",146                                                                                                                                              
conf/sosl/1993,"Semantics of Specification Languages (SoSL), Proceedings of the International Workshop on Semantics of Specification Languages, Utrecht, The Netherlands, 25-27 October 1993",172                                                                                                                     
conf/ispdc/2013,"IEEE 12th International Symposium on Parallel and Distributed Computing, ISPDC 2013, Bucharest, Romania, June 27-30, 2013",121                                                                                                                                                                       
conf/dagstuhl/2002gene,Gene Regulations and Metabolism - Postgenomic Computational Approaches,70                                                                                                                                                                                                                      
conf/IEEEcca/2014,"2014 IEEE Conference on Control Applications, CCA 2014, Juan Les Antibes, France, October 8-10, 2014",100                                                                                                                                                                                          
conf/cp/1995,"Principles and Practice of Constraint Programming - CP'95, First International Conference, CP'95, Cassis, France, September 19-22, 1995, Proceedings",148                                                                                                                                               
conf/vlsi/2011socs,"VLSI-SoC: Advanced Research for Systems on Chip - 19th IFIP WG 10.5/IEEE International Conference on Very Large Scale Integration, VLSI-SoC 2011, Hong Kong, China, October 3-5, 2011, Revised Selected Papers",206                                                                               
conf/ifip6-6/2009,"The Internet of the Future, 15th Open European Summer School and IFIP TC6.6 Workshop, EUNICE 2009, Barcelona, Spain, September 7-9, 2009. Proceedings",149                                                                                                                                         
conf/dmsn/2004,"Proceedings of the 1st Workshop on Data Management for Sensor Networks, in conjunction with VLDB, DMSN 2004, Toronto, Canada, August 30, 2004",141                                                                                                                                                    
conf/ipps/2009,"23rd IEEE International Symposium on Parallel and Distributed Processing, IPDPS 2009, Rome, Italy, May 23-29, 2009",114                                                                                                                                                                               
conf/eccv/2008-4,"Computer Vision - ECCV 2008, 10th European Conference on Computer Vision, Marseille, France, October 12-18, 2008, Proceedings, Part IV",134                                                                                                                                                         
conf/wompat/2001,"OpenMP Shared Memory Parallel Programming, International Workshop on OpenMP Applications and Tools, WOMPAT 2001, West Lafayette, IN, USA, July 30-31, 2001 Proceedings",166                                                                                                                         
conf/iscslp/2014,"The 9th International Symposium on Chinese Spoken Language Processing, Singapore, September 12-14, 2014",103                                                                                                                                                                                        
conf/icimth/2016,"Unifying the Applications and Foundations of Biomedical and Health Informatics [ICIMTH 2016, Athens, Greece, July 2016].",120                                                                                                                                                                       
conf/uic/2007,"Ubiquitous Intelligence and Computing, 4th International Conference, UIC 2007, Hong Kong, China, July 11-13, 2007, Proceedings",126                                                                                                                                                                    
conf/wflp/2010,"Functional and Constraint Logic Programming - 19th International Workshop, WFLP 2010, Madrid, Spain, January 17, 2010. Revised Selected Papers",142                                                                                                                                                   
conf/momm/2003,"MoMM'2003 - The First International Conference Advances in Mobile Multimedia, 15-17 September 2003, Jakarta, Indonesia",118                                                                                                                                                                           
conf/compgeom/2006,"Proceedings of the 22nd ACM Symposium on Computational Geometry, Sedona, Arizona, USA, June 5-7, 2006",101                                                                                                                                                                                        
conf/sbgames/2009,"VIII Brazilian Symposium on Games and Digital Entertainment, SBGAMES 2009, Rio de Janeiro, Brazil, October 8-10, 2009",117                                                                                                                                                                         
conf/ic/2010,"Proceedings of the 2010 International Conference on Internet Computing, ICOMP 2010, July 12-15, 2010, Las Vegas Nevada, USA",123                                                                                                                                                                        
conf/aipr/2015,"2015 IEEE Applied Imagery Pattern Recognition Workshop, AIPR 2015, Washington, DC, USA, October 13-15, 2015",107                                                                                                                                                                                      
conf/skg/2015,"11th International Conference on Semantics, Knowledge and Grids, SKG 2015, Beijing, China, August 19-21, 2015",109                                                                                                                                                                                     
conf/sigdoc/2001,"The Nineteenth Annual International Conference of Computer Documentation: Communicating in the New Millennium, SIGDOC 2001, Santa Fe, New Mexico, USA, October 21-24, 2001",170                                                                                                                     
conf/mobis/2010,"MobIS 2010: Modellierung betrieblicher Informationssysteme – Modellgestütztes Management, 15.-17. September 2010 in Dresden, Germany",132                                                                                                                                                            
conf/dagstuhl/1997svis,"Dagstuhl '97, Scientific Visualization, Dagstuhl, Germany, 9-13 June 1997",73                                                                                                                                                                                                                 
conf/ipps/2014w,"2014 IEEE International Parallel & Distributed Processing Symposium Workshops, Phoenix, AZ, USA, May 19-23, 2014",112                                                                                                                                                                                
conf/nossdav/2001,"Network and Operating System Support for Digital Audio and Video, 11th International Workshop, NOSSDAV 2001, Port Jefferson, NY, USA, June 25-26, 2001, Proceedings",163                                                                                                                           
conf/ecsa/2016,"Software Architecture - 10th European Conference, ECSA 2016, Copenhagen, Denmark, November 28 - December 2, 2016, Proceedings",125                                                                                                                                                                    
conf/cds/1998,"Fourth International Conference on Configurable Distributed Systems, 1998, Proceedings, Annapolis, MA, USA, 6 May, 1998",119                                                                                                                                                                           
conf/sigecom/2011,"Proceedings 12th ACM Conference on Electronic Commerce (EC-2011), San Jose, CA, USA, June 5-9, 2011",99                                                                                                                                                                                            
conf/ccs/2007fmse,"Proceedings of the 2007 ACM workshop on Formal methods in security engineering, FMSE 2007, Fairfax, VA, USA, November 2, 2007",125                                                                                                                                                                 
conf/aaecc/1984,"Applied Algebra, Algorithms and Error-Correcting Codes, 2nd International Conference, AAECC-2, Toulouse, France, October 1-5, 1984, Proceedings",143                                                                                                                                                 
journals/corr/GosslerS16,"Proceedings First Workshop on Causal Reasoning for Embedded and safety-critical Systems Technologies, CREST@ETAPS 2016, Eindhoven, The Netherlands, 8th April 2016.",163                                                                                                                    
conf/dagstuhl/2008P8341,"Sublinear Algorithms, 17.08. - 22.08.2008",41                                                                                                                                                                                                                                                
conf/kramas/2008,"Knowledge Representation for Agents and Multi-Agent Systems, First International Workshop, KRAMAS 2008, Sydney, Australia, September 17, 2008, Revised Selected Papers",166                                                                                                                         
conf/kesamsta/2009,"Agent and Multi-Agent Systems: Technologies and Applications, Third KES International Symposium, KES-AMSTA 2009, Uppsala, Sweden, June 3-5, 2009. Proceedings",157                                                                                                                                
conf/pldi/2014array,"ARRAY'14: Proceedings of the 2014 ACM SIGPLAN International Workshop on Libraries, Languages, and Compilers for Array Programming, Edinburgh, United Kingdom, June 12-13, 2014",174                                                                                                              
conf/dac/1985,"Proceedings of the 22nd ACM/IEEE conference on Design automation, DAC 1985, Las Vegas, Nevada, USA, 1985.",105                                                                                                                                                                                         
conf/policy/2002,"3rd International Workshop on Policies for Distributed Systems and Networks (POLICY 2002), 5-7 June 2002, Monterey, CA, USA",123                                                                                                                                                                    
conf/delfi/2011w,"DeLFI 2011: Die 9. e-Learning Fachtagung Informatik - Poster, Workshops, Kurzbeiträge, Technische Universität Dresden, Germany, 5.-8. September 2011",148                                                                                                                                           
conf/africacrypt/2017,"Progress in Cryptology - AFRICACRYPT 2017 - 9th International Conference on Cryptology in Africa, Dakar, Senegal, May 24-26, 2017, Proceedings",142                                                                                                                                            
conf/iccbr/2013,"Case-Based Reasoning Research and Development - 21st International Conference, ICCBR 2013, Saratoga Springs, NY, USA, July 8-11, 2013. Proceedings",146                                                                                                                                              
conf/stairs/2012,"STAIRS 2012 - Proceedings of the Sixth Starting AI Researchers' Symposium, Montpellier, France, 27-28 August 2012",113                                                                                                                                                                              
conf/icfp/2015,"Proceedings of the 20th ACM SIGPLAN International Conference on Functional Programming, ICFP 2015, Vancouver, BC, Canada, September 1-3, 2015",141                                                                                                                                                    
conf/icra/2012,"IEEE International Conference on Robotics and Automation, ICRA 2012, 14-18 May, 2012, St. Paul, Minnesota, USA",110                                                                                                                                                                                   
conf/apn/2015ataed,"Proceedings of the International Workshop on Algorithms & Theories for the Analysis of Event Data, ATAED 2015, Satellite event of the conferences: 36th International Conference on Application and Theory of Petri Nets and Concurrency Petri Nets 2015 and 15th International Conference on Application of Concurrency to System Design ACSD 2015, Brussels, Belgium, June 22-23, 2015.",377                                                    
conf/vstte/2015,"Verified Software: Theories, Tools, and Experiments - 7th International Conference, VSTTE 2015, San Francisco, CA, USA, July 18-19, 2015. Revised Selected Papers",161                                                                                                                               
conf/iat/2013w,"2013 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology, Atlanta, Georgia, USA, 17-20 November 2013, Workshop Proceedings",162                                                                                                                               
conf/sigcomm/2017,"Proceedings of the Conference of the ACM Special Interest Group on Data Communication, SIGCOMM 2017, Los Angeles, CA, USA, August 21-25, 2017",141                                                                                                                                                 
conf/adbis/95,"Advances in Databases and Information Systems, Proceedings of the Second International Workshop on Advances in Databases and Information Systems (ADBIS'95), Moscow, 27-30 June 1995",180                                                                                                              
conf/wsc/1991,"Proceedings of the 23th Winter Simulation Conference, Phoenix, Arizona, USA, December 8-11, 1991",96                                                                                                                                                                                                   
conf/eurogp/2006,"Genetic Programming, 9th European Conference, EuroGP 2006, Budapest, Hungary, April 10-12, 2006, Proceedings",108                                                                                                                                                                                   
conf/ecir/1997,"19th Annual BCS-IRSG Colloquium on IR Aberdeen, UK. 8th-9th April 1997",70                                                                                                                                                                                                                            
conf/ihm/2011,"23th French speaking Conference on Human-Computer Interaction, IHM'11, Sophia Antipolis, France - October 24 - 27, 2011",119                                                                                                                                                                           
conf/socrates/2008kcec,"Proceedings of the Conference Knowledge Construction in E-learning Context: CSCL, ODL, ICT and SNA in education (2008), Cesena, Italy, September 1-2, 2008",154                                                                                                                               
conf/ifip9/2010hc,"History of Computing. Learning from the Past - IFIP WG 9.7 International Conference, HC 2010, Held as Part of WCC 2010, Brisbane, Australia, September 20-23, 2010. Proceedings",175                                                                                                               
conf/esa/1996,"Algorithms - ESA '96, Fourth Annual European Symposium, Barcelona, Spain, September 25-27, 1996, Proceedings",108                                                                                                                                                                                      
conf/dac/2008,"Proceedings of the 45th Design Automation Conference, DAC 2008, Anaheim, CA, USA, June 8-13, 2008",97                                                                                                                                                                                                  
conf/asru/2015,"2015 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2015, Scottsdale, AZ, USA, December 13-17, 2015",122                                                                                                                                                                       
conf/isicir/2014,"2014 International Symposium on Integrated Circuits (ISIC), Singapore, December 10-12, 2014",91                                                                                                                                                                                                     
conf/lascas/2014,"IEEE 5th Latin American Symposium on Circuits and Systems, LASCAS 2014, Santiago, Chile, February 25-28, 2014",109                                                                                                                                                                                  
conf/mswim/2009,"Proceedings of the 12th International Symposium on Modeling Analysis and Simulation of Wireless and Mobile Systems, MSWiM 2009, Tenerife, Canary Islands, Spain, October 26-19, 2009",180                                                                                                            
conf/bcshci/2013,"BCS-HCI '13 Proceedings of the 27th International BCS Human Computer Interaction Conference, Brunel University, London, UK, 9-13 September 2013",143                                                                                                                                                
conf/qsic/2008,"Proceedings of the Eighth International Conference on Quality Software, QSIC 2008, 12-13 August 2008, Oxford, UK",112                                                                                                                                                                                 
conf/haptics/2013,"2013 World Haptics Conference, WHC 2013, Daejeon, Korea (South), April 14-17, 2013",82                                                                                                                                                                                                             
conf/chilechi/2013,"First Chilean Conference on Human - Computer Interaction, ChileCHI '13, Temuco, Chile, November 11-15, 2013",107                                                                                                                                                                                  
conf/dsrt/2007,"11th IEEE International Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2007, Chania, Greece, 22-24 October 2007",134                                                                                                                                                           
